CC COD;CT COD;CCUSTO;CONTA;2020-10
10101;42115001;10101 - VICE-PRESIDENCIA;42115001 - DEPRECIACAO;48,12
10110;42105013;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42105013 - SERVICOS EXTERNOS DE INFORMATICA;1783,55
10110;42108001;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42108001 - TELEFONIA FIXA;53,66
10110;42108002;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42108002 - TELEFONIA MOVEL;9,09
10110;42111015;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42111015 - ANUIDADES E MENSALIDADES;78
10110;42111023;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42111023 - CONTRIBUICOES PARA ASSOC DE CLASSE;9119
10110;42115001;10110 - DIRETORIA ADMINISTRATIVO FINANCEIRO;42115001 - DEPRECIACAO;103,65
10120;41101001;10120 - CONTROLADORIA;41101001 - SALARIOS;42954,76
10120;41101006;10120 - CONTROLADORIA;41101006 - OUTRAS REMUNERACOES;87,95
10120;41101008;10120 - CONTROLADORIA;41101008 - ENCARGOS SOCIAIS - INSS;13672,22
10120;41101009;10120 - CONTROLADORIA;41101009 - ENC. SOCIAIS - FGTS;3825,22
10120;41101010;10120 - CONTROLADORIA;41101010 - FERIAS;5079,62
10120;41101012;10120 - CONTROLADORIA;41101012 - DECIMO TERCEIRO SALARIO;4033,48
10120;41101021;10120 - CONTROLADORIA;41101021 - GRRF;4441,5
10120;41101023;10120 - CONTROLADORIA;41101023 - AJUDA DE CUSTO ESCOLAR;588,24
10120;41101027;10120 - CONTROLADORIA;41101027 - PROVISAO PPR;6040,56
10120;41102004;10120 - CONTROLADORIA;41102004 - EPI;30,14
10120;41102005;10120 - CONTROLADORIA;41102005 - VALE TRANSPORTE;4,03
10120;41102011;10120 - CONTROLADORIA;41102011 - ASSISTENCIA MEDICA;1188,78
10120;41102014;10120 - CONTROLADORIA;41102014 - DESP. ODONTOLOGICAS;13,5
10120;41102015;10120 - CONTROLADORIA;41102015 - AVISO PREVIO INDENIZADO;805,57
10120;41102017;10120 - CONTROLADORIA;41102017 - SEGURO DE VIDA;140,5
10120;41102019;10120 - CONTROLADORIA;41102019 - TREINAMENTO PESSOAL;1760
10120;41102022;10120 - CONTROLADORIA;41102022 - CESTA BASICA;408,83
10120;42101015;10120 - CONTROLADORIA;42101015 - BENS DE PEQUENO VALOR;-25
10120;42105013;10120 - CONTROLADORIA;42105013 - SERVICOS EXTERNOS DE INFORMATICA;1680
10120;42106006;10120 - CONTROLADORIA;42106006 - DESPESAS COM TAXI;79,14
10120;42108001;10120 - CONTROLADORIA;42108001 - TELEFONIA FIXA;53,66
10120;42108002;10120 - CONTROLADORIA;42108002 - TELEFONIA MOVEL;167,97
10120;42109008;10120 - CONTROLADORIA;42109008 - CONSULTORIA TI;54,22
10120;42115001;10120 - CONTROLADORIA;42115001 - DEPRECIACAO;711,01
10120;42115002;10120 - CONTROLADORIA;42115002 - AMORTIZACAO;45,67
10120;49101025;10120 - CONTROLADORIA;49101025 - RATEIO RECEBIDO REFEITORIO;1143,11
10120;49101026;10120 - CONTROLADORIA;49101026 - RATEIO RECEBIDO LIMPEZA;520,57
10120;49101032;10120 - CONTROLADORIA;49101032 - RATEIOS RECEBIDOS PROG JOVEM APRENDIZ;117,12
10121;41101001;10121 - CONTROLADORIA LATICINIOS;41101001 - SALARIOS;1838,24
10121;41101008;10121 - CONTROLADORIA LATICINIOS;41101008 - ENCARGOS SOCIAIS - INSS;630,55
10121;41101009;10121 - CONTROLADORIA LATICINIOS;41101009 - ENC. SOCIAIS - FGTS;175,66
10121;41101010;10121 - CONTROLADORIA LATICINIOS;41101010 - FERIAS;204,24
10121;41101012;10121 - CONTROLADORIA LATICINIOS;41101012 - DECIMO TERCEIRO SALARIO;153,19
10121;41101027;10121 - CONTROLADORIA LATICINIOS;41101027 - PROVISAO PPR;168,51
10121;41102011;10121 - CONTROLADORIA LATICINIOS;41102011 - ASSISTENCIA MEDICA;141,7
10121;41102014;10121 - CONTROLADORIA LATICINIOS;41102014 - DESP. ODONTOLOGICAS;0,98
10121;41102017;10121 - CONTROLADORIA LATICINIOS;41102017 - SEGURO DE VIDA;7,68
10121;41102022;10121 - CONTROLADORIA LATICINIOS;41102022 - CESTA BASICA;136,28
10121;42107002;10121 - CONTROLADORIA LATICINIOS;42107002 - COMBUSTIVEIS - VEICULOS;17,27
10121;42108002;10121 - CONTROLADORIA LATICINIOS;42108002 - TELEFONIA MOVEL;4,54
10121;49101025;10121 - CONTROLADORIA LATICINIOS;49101025 - RATEIO RECEBIDO REFEITORIO;283,25
10131;41101001;10131 - FISCAL CONTAGEM;41101001 - SALARIOS;25960,14
10131;41101005;10131 - FISCAL CONTAGEM;41101005 - AJUDA DE CUSTO;331,33
10131;41101006;10131 - FISCAL CONTAGEM;41101006 - OUTRAS REMUNERACOES;173,21
10131;41101008;10131 - FISCAL CONTAGEM;41101008 - ENCARGOS SOCIAIS - INSS;9299,35
10131;41101009;10131 - FISCAL CONTAGEM;41101009 - ENC. SOCIAIS - FGTS;2543,02
10131;41101010;10131 - FISCAL CONTAGEM;41101010 - FERIAS;3227,57
10131;41101012;10131 - FISCAL CONTAGEM;41101012 - DECIMO TERCEIRO SALARIO;2427,3
10131;41101023;10131 - FISCAL CONTAGEM;41101023 - AJUDA DE CUSTO ESCOLAR;253,36
10131;41101027;10131 - FISCAL CONTAGEM;41101027 - PROVISAO PPR;2670,06
10131;41101028;10131 - FISCAL CONTAGEM;41101028 - PROVISAO BANCO DE HORAS;-50,08
10131;41102001;10131 - FISCAL CONTAGEM;41102001 - MEDICAMENTOS;1,43
10131;41102005;10131 - FISCAL CONTAGEM;41102005 - VALE TRANSPORTE;459,96
10131;41102011;10131 - FISCAL CONTAGEM;41102011 - ASSISTENCIA MEDICA;2663,74
10131;41102013;10131 - FISCAL CONTAGEM;41102013 - MAO-DE-OBRA ESTAGIARIOS;1045
10131;41102014;10131 - FISCAL CONTAGEM;41102014 - DESP. ODONTOLOGICAS;-12,66
10131;41102017;10131 - FISCAL CONTAGEM;41102017 - SEGURO DE VIDA;100,98
10131;41102022;10131 - FISCAL CONTAGEM;41102022 - CESTA BASICA;851,72
10131;42101017;10131 - FISCAL CONTAGEM;42101017 - MATERIAL DE CONSUMO;28,76
10131;42104001;10131 - FISCAL CONTAGEM;42104001 - MANUTENCAO DE MAQUINAS E EQUIPAMENTOS;380
10131;42105002;10131 - FISCAL CONTAGEM;42105002 - ADVOGADO PESSOA JURIDICA;49399,22
10131;42105003;10131 - FISCAL CONTAGEM;42105003 - SERVICOS PROFISSIONAIS DIVERSOS PF;2400
10131;42105010;10131 - FISCAL CONTAGEM;42105010 - CONSULTORIA;85319,82
10131;42105011;10131 - FISCAL CONTAGEM;42105011 - AUDITORIA;17947,45
10131;42108001;10131 - FISCAL CONTAGEM;42108001 - TELEFONIA FIXA;53,66
10131;42108002;10131 - FISCAL CONTAGEM;42108002 - TELEFONIA MOVEL;212,14
10131;42108003;10131 - FISCAL CONTAGEM;42108003 - CORREIO;146,05
10131;42109005;10131 - FISCAL CONTAGEM;42109005 - CONSULTORIA DATASUL;712,05
10131;42109007;10131 - FISCAL CONTAGEM;42109007 - MANUTENCAO DE SOFTWARE;3727,98
10131;42109008;10131 - FISCAL CONTAGEM;42109008 - CONSULTORIA TI;14946,6
10131;42111002;10131 - FISCAL CONTAGEM;42111002 - MATERIAL DE ESCRITORIO;27,65
10131;42111009;10131 - FISCAL CONTAGEM;42111009 - DESPESAS DE CARTORIO;63,44
10131;42111018;10131 - FISCAL CONTAGEM;42111018 - TAXAS MUNICIPAIS/ESTADUAIS/DIVERSAS;1825,11
10131;42115001;10131 - FISCAL CONTAGEM;42115001 - DEPRECIACAO;617,98
10131;42115002;10131 - FISCAL CONTAGEM;42115002 - AMORTIZACAO;568,03
10131;49101025;10131 - FISCAL CONTAGEM;49101025 - RATEIO RECEBIDO REFEITORIO;2358,27
10131;49101026;10131 - FISCAL CONTAGEM;49101026 - RATEIO RECEBIDO LIMPEZA;1041,17
10131;49101032;10131 - FISCAL CONTAGEM;49101032 - RATEIOS RECEBIDOS PROG JOVEM APRENDIZ;234,23
10132;41101001;10132 - FISCAL LATICINIOS;41101001 - SALARIOS;2386,96
10132;41101008;10132 - FISCAL LATICINIOS;41101008 - ENCARGOS SOCIAIS - INSS;631,44
10132;41101009;10132 - FISCAL LATICINIOS;41101009 - ENC. SOCIAIS - FGTS;228,09
10132;41101010;10132 - FISCAL LATICINIOS;41101010 - FERIAS;265,21
10132;41101012;10132 - FISCAL LATICINIOS;41101012 - DECIMO TERCEIRO SALARIO;198,91
10132;41101027;10132 - FISCAL LATICINIOS;41101027 - PROVISAO PPR;218,8
10132;41101028;10132 - FISCAL LATICINIOS;41101028 - PROVISAO BANCO DE HORAS;68,86
10132;41102011;10132 - FISCAL LATICINIOS;41102011 - ASSISTENCIA MEDICA;255,06
10132;41102017;10132 - FISCAL LATICINIOS;41102017 - SEGURO DE VIDA;8,78
10132;41102022;10132 - FISCAL LATICINIOS;41102022 - CESTA BASICA;136,28
10132;42104003;10132 - FISCAL LATICINIOS;42104003 - MANUTENCAO DE EDIFICIOS E INSTALACOES;15,81
10132;42109011;10132 - FISCAL LATICINIOS;42109011 - INTERNET;90
10132;42111002;10132 - FISCAL LATICINIOS;42111002 - MATERIAL DE ESCRITORIO;13,8
10132;42115001;10132 - FISCAL LATICINIOS;42115001 - DEPRECIACAO;12,58
10132;49101025;10132 - FISCAL LATICINIOS;49101025 - RATEIO RECEBIDO REFEITORIO;274,25
10141;41101001;10141 - ADMINISTRATIVO CONTAGEM;41101001 - SALARIOS;3771,57
10141;41101008;10141 - ADMINISTRATIVO CONTAGEM;41101008 - ENCARGOS SOCIAIS - INSS;1383,94
10141;41101009;10141 - ADMINISTRATIVO CONTAGEM;41101009 - ENC. SOCIAIS - FGTS;380,67
10141;41101010;10141 - ADMINISTRATIVO CONTAGEM;41101010 - FERIAS;672,33
10141;41101012;10141 - ADMINISTRATIVO CONTAGEM;41101012 - DECIMO TERCEIRO SALARIO;314,49
10141;41101027;10141 - ADMINISTRATIVO CONTAGEM;41101027 - PROVISAO PPR;345,73
10141;41102001;10141 - ADMINISTRATIVO CONTAGEM;41102001 - MEDICAMENTOS;-0,12
10141;41102005;10141 - ADMINISTRATIVO CONTAGEM;41102005 - VALE TRANSPORTE;154,01
10141;41102010;10141 - ADMINISTRATIVO CONTAGEM;41102010 - MATERIAL DESCARTAVEL;432,18
10141;41102011;10141 - ADMINISTRATIVO CONTAGEM;41102011 - ASSISTENCIA MEDICA;196,9
10141;41102014;10141 - ADMINISTRATIVO CONTAGEM;41102014 - DESP. ODONTOLOGICAS;-0,87
10141;41102017;10141 - ADMINISTRATIVO CONTAGEM;41102017 - SEGURO DE VIDA;13,17
10141;41102022;10141 - ADMINISTRATIVO CONTAGEM;41102022 - CESTA BASICA;272,55
10141;42101015;10141 - ADMINISTRATIVO CONTAGEM;42101015 - BENS DE PEQUENO VALOR;-25
10141;42101017;10141 - ADMINISTRATIVO CONTAGEM;42101017 - MATERIAL DE CONSUMO;29,01
10141;42104001;10141 - ADMINISTRATIVO CONTAGEM;42104001 - MANUTENCAO DE MAQUINAS E EQUIPAMENTOS;3522,6
10141;42104003;10141 - ADMINISTRATIVO CONTAGEM;42104003 - MANUTENCAO DE EDIFICIOS E INSTALACOES;60,98
10141;42105017;10141 - ADMINISTRATIVO CONTAGEM;42105017 - FRETES/ CARRETOS;2699,53
10141;42106004;10141 - ADMINISTRATIVO CONTAGEM;42106004 - REFEICOES E LANCHES;567
10141;42107003;10141 - ADMINISTRATIVO CONTAGEM;42107003 - IPVA;36,36
10141;42108001;10141 - ADMINISTRATIVO CONTAGEM;42108001 - TELEFONIA FIXA;53,66
10141;42108002;10141 - ADMINISTRATIVO CONTAGEM;42108002 - TELEFONIA MOVEL;66,38
10141;42108003;10141 - ADMINISTRATIVO CONTAGEM;42108003 - CORREIO;28,18
10141;42109008;10141 - ADMINISTRATIVO CONTAGEM;42109008 - CONSULTORIA TI;11,65
10141;42110004;10141 - ADMINISTRATIVO CONTAGEM;42110004 - SEGURO DE RISCOS DIVERSOS;29750,05
10141;42111002;10141 - ADMINISTRATIVO CONTAGEM;42111002 - MATERIAL DE ESCRITORIO;279,46
10141;42111006;10141 - ADMINISTRATIVO CONTAGEM;42111006 - ENERGIA ELETRICA;25934,28
10141;42111007;10141 - ADMINISTRATIVO CONTAGEM;42111007 - MARCAS E PATENTES;600
10141;42111009;10141 - ADMINISTRATIVO CONTAGEM;42111009 - DESPESAS DE CARTORIO;35,88
10141;42115001;10141 - ADMINISTRATIVO CONTAGEM;42115001 - DEPRECIACAO;19863,24
10141;42115002;10141 - ADMINISTRATIVO CONTAGEM;42115002 - AMORTIZACAO;28,86
10141;49101025;10141 - ADMINISTRATIVO CONTAGEM;49101025 - RATEIO RECEBIDO REFEITORIO;354,04
10141;49101026;10141 - ADMINISTRATIVO CONTAGEM;49101026 - RATEIO RECEBIDO LIMPEZA;173,51
10141;49101032;10141 - ADMINISTRATIVO CONTAGEM;49101032 - RATEIOS RECEBIDOS PROG JOVEM APRENDIZ;39,04
10142;41101001;10142 - ADMINISTRATIVO LATICINIOS;41101001 - SALARIOS;1869,03
10142;41101008;10142 - ADMINISTRATIVO LATICINIOS;41101008 - ENCARGOS SOCIAIS - INSS;609,32
10142;41101009;10142 - ADMINISTRATIVO LATICINIOS;41101009 - ENC. SOCIAIS - FGTS;197,28
10142;41101010;10142 - ADMINISTRATIVO LATICINIOS;41101010 - FERIAS;404,75
10142;41101012;10142 - ADMINISTRATIVO LATICINIOS;41101012 - DECIMO TERCEIRO SALARIO;303,57
10142;41101027;10142 - ADMINISTRATIVO LATICINIOS;41101027 - PROVISAO PPR;333,92
10142;41102011;10142 - ADMINISTRATIVO LATICINIOS;41102011 - ASSISTENCIA MEDICA;792,67
10142;41102014;10142 - ADMINISTRATIVO LATICINIOS;41102014 - DESP. ODONTOLOGICAS;-0,87
10142;41102017;10142 - ADMINISTRATIVO LATICINIOS;41102017 - SEGURO DE VIDA;13,17
10142;41102022;10142 - ADMINISTRATIVO LATICINIOS;41102022 - CESTA BASICA;519,55
10142;42104003;10142 - ADMINISTRATIVO LATICINIOS;42104003 - MANUTENCAO DE EDIFICIOS E INSTALACOES;19,29
10142;42107002;10142 - ADMINISTRATIVO LATICINIOS;42107002 - COMBUSTIVEIS - VEICULOS;230,38
10142;42108002;10142 - ADMINISTRATIVO LATICINIOS;42108002 - TELEFONIA MOVEL;92,69
10142;42109003;10142 - ADMINISTRATIVO LATICINIOS;42109003 - MATERIAL DE INFORMATICA;169,34
10142;42109011;10142 - ADMINISTRATIVO LATICINIOS;42109011 - INTERNET;45
10142;42110003;10142 - ADMINISTRATIVO LATICINIOS;42110003 - SEGURO DE VEICULOS;90,79
10142;42111002;10142 - ADMINISTRATIVO LATICINIOS;42111002 - MATERIAL DE ESCRITORIO;107,9
10142;42111006;10142 - ADMINISTRATIVO LATICINIOS;42111006 - ENERGIA ELETRICA;8026,77
10142;42111015;10142 - ADMINISTRATIVO LATICINIOS;42111015 - ANUIDADES E MENSALIDADES;923
10142;42115001;10142 - ADMINISTRATIVO LATICINIOS;42115001 - DEPRECIACAO;13892,87
10142;49101025;10142 - ADMINISTRATIVO LATICINIOS;49101025 - RATEIO RECEBIDO REFEITORIO;274,85
10160;41101001;10160 - RECURSOS HUMANOS - FM;41101001 - SALARIOS;51361,81
10160;41101006;10160 - RECURSOS HUMANOS - FM;41101006 - OUTRAS REMUNERACOES;238,37
10160;41101008;10160 - RECURSOS HUMANOS - FM;41101008 - ENCARGOS SOCIAIS - INSS;18792,2
10160;41101009;10160 - RECURSOS HUMANOS - FM;41101009 - ENC. SOCIAIS - FGTS;5003,09
10160;41101010;10160 - RECURSOS HUMANOS - FM;41101010 - FERIAS;6250,6
10160;41101012;10160 - RECURSOS HUMANOS - FM;41101012 - DECIMO TERCEIRO SALARIO;4687,97
10160;41101023;10160 - RECURSOS HUMANOS - FM;41101023 - AJUDA DE CUSTO ESCOLAR;727,2
10160;41101027;10160 - RECURSOS HUMANOS - FM;41101027 - PROVISAO PPR;6997,92
10160;41101028;10160 - RECURSOS HUMANOS - FM;41101028 - PROVISAO BANCO DE HORAS;-368,99
10160;41101030;10160 - RECURSOS HUMANOS - FM;41101030 - AJUDA POR SUGESTOES DE MELHORIA;1750
10160;41102001;10160 - RECURSOS HUMANOS - FM;41102001 - MEDICAMENTOS;1,85
10160;41102003;10160 - RECURSOS HUMANOS - FM;41102003 - UNIFORMES;195,9
10160;41102004;10160 - RECURSOS HUMANOS - FM;41102004 - EPI;30,14
10160;41102005;10160 - RECURSOS HUMANOS - FM;41102005 - VALE TRANSPORTE;1153,87
10160;41102009;10160 - RECURSOS HUMANOS - FM;41102009 - TICKETS RESTAURANTE;4000
10160;41102011;10160 - RECURSOS HUMANOS - FM;41102011 - ASSISTENCIA MEDICA;2752,02
10160;41102013;10160 - RECURSOS HUMANOS - FM;41102013 - MAO-DE-OBRA ESTAGIARIOS;1045
10160;41102014;10160 - RECURSOS HUMANOS - FM;41102014 - DESP. ODONTOLOGICAS;20,24
10160;41102017;10160 - RECURSOS HUMANOS - FM;41102017 - SEGURO DE VIDA;225,01
10160;41102018;10160 - RECURSOS HUMANOS - FM;41102018 - RECRUTAMENTO E SELECAO;3619,2
10160;41102019;10160 - RECURSOS HUMANOS - FM;41102019 - TREINAMENTO PESSOAL;7257
10160;41102022;10160 - RECURSOS HUMANOS - FM;41102022 - CESTA BASICA;749,51
10160;42101015;10160 - RECURSOS HUMANOS - FM;42101015 - BENS DE PEQUENO VALOR;335
10160;42101017;10160 - RECURSOS HUMANOS - FM;42101017 - MATERIAL DE CONSUMO;520
10160;42103001;10160 - RECURSOS HUMANOS - FM;42103001 - ALUGUEIS DE EQUIPAMENTOS;5630
10160;42104001;10160 - RECURSOS HUMANOS - FM;42104001 - MANUTENCAO DE MAQUINAS E EQUIPAMENTOS;76
10160;42104003;10160 - RECURSOS HUMANOS - FM;42104003 - MANUTENCAO DE EDIFICIOS E INSTALACOES;244,18
10160;42105002;10160 - RECURSOS HUMANOS - FM;42105002 - ADVOGADO PESSOA JURIDICA;8635,48
10160;42105003;10160 - RECURSOS HUMANOS - FM;42105003 - SERVICOS PROFISSIONAIS DIVERSOS PF;4297,02
10160;42105010;10160 - RECURSOS HUMANOS - FM;42105010 - CONSULTORIA;336
10160;42106006;10160 - RECURSOS HUMANOS - FM;42106006 - DESPESAS COM TAXI;32,97
10160;42107002;10160 - RECURSOS HUMANOS - FM;42107002 - COMBUSTIVEIS - VEICULOS;440,17
10160;42107005;10160 - RECURSOS HUMANOS - FM;42107005 - ESTACIONAMENTO/PEDAGIO;10,4
10160;42108001;10160 - RECURSOS HUMANOS - FM;42108001 - TELEFONIA FIXA;107,32
10160;42108002;10160 - RECURSOS HUMANOS - FM;42108002 - TELEFONIA MOVEL;469,01
10160;42108003;10160 - RECURSOS HUMANOS - FM;42108003 - CORREIO;1219,22
10160;42109008;10160 - RECURSOS HUMANOS - FM;42109008 - CONSULTORIA TI;138,78
10160;42111001;10160 - RECURSOS HUMANOS - FM;42111001 - MATERIAL DE LIMPEZA;124,59
10160;42111002;10160 - RECURSOS HUMANOS - FM;42111002 - MATERIAL DE ESCRITORIO;241,74
10160;42111015;10160 - RECURSOS HUMANOS - FM;42111015 - ANUIDADES E MENSALIDADES;107
10160;42115001;10160 - RECURSOS HUMANOS - FM;42115001 - DEPRECIACAO;930,67
10160;42115002;10160 - RECURSOS HUMANOS - FM;42115002 - AMORTIZACAO;837,87
10160;49101025;10160 - RECURSOS HUMANOS - FM;49101025 - RATEIO RECEBIDO REFEITORIO;1750,69
10160;49101026;10160 - RECURSOS HUMANOS - FM;49101026 - RATEIO RECEBIDO LIMPEZA;780,87
10160;49101032;10160 - RECURSOS HUMANOS - FM;49101032 - RATEIOS RECEBIDOS PROG JOVEM APRENDIZ;175,68
10161;41101001;10161 - RECEPCAO CONTAGEM;41101001 - SALARIOS;6898,98
10161;41101008;10161 - RECEPCAO CONTAGEM;41101008 - ENCARGOS SOCIAIS - INSS;2396,66
10161;41101009;10161 - RECEPCAO CONTAGEM;41101009 - ENC. SOCIAIS - FGTS;659,23
10161;41101010;10161 - RECEPCAO CONTAGEM;41101010 - FERIAS;766,55
10161;41101012;10161 - RECEPCAO CONTAGEM;41101012 - DECIMO TERCEIRO SALARIO;574,91
10161;41101027;10161 - RECEPCAO CONTAGEM;41101027 - PROVISAO PPR;747,39
10161;41102003;10161 - RECEPCAO CONTAGEM;41102003 - UNIFORMES;249
10161;41102010;10161 - RECEPCAO CONTAGEM;41102010 - MATERIAL DESCARTAVEL;110,69
10161;41102011;10161 - RECEPCAO CONTAGEM;41102011 - ASSISTENCIA MEDICA;396,75
10161;41102014;10161 - RECEPCAO CONTAGEM;41102014 - DESP. ODONTOLOGICAS;0,98
10161;41102017;10161 - RECEPCAO CONTAGEM;41102017 - SEGURO DE VIDA;24,15
10161;42101015;10161 - RECEPCAO CONTAGEM;42101015 - BENS DE PEQUENO VALOR;-25
10161;42108002;10161 - RECEPCAO CONTAGEM;42108002 - TELEFONIA MOVEL;79,5
10161;42111022;10161 - RECEPCAO CONTAGEM;42111022 - CONFRATERNIZACAO, FESTAS e EVENTOS;131,3
10161;42115001;10161 - RECEPCAO CONTAGEM;42115001 - DEPRECIACAO;49,37
10161;42115002;10161 - RECEPCAO CONTAGEM;42115002 - AMORTIZACAO;11,86
10161;42117001;10161 - RECEPCAO CONTAGEM;42117001 - CONSUMO DE PRODUTO ACABADO;399
10161;42117003;10161 - RECEPCAO CONTAGEM;42117003 - CONSUMO DE MATERIA PRIMA;94,98
10161;49101025;10161 - RECEPCAO CONTAGEM;49101025 - RATEIO RECEBIDO REFEITORIO;664,22
10161;49101026;10161 - RECEPCAO CONTAGEM;49101026 - RATEIO RECEBIDO LIMPEZA;86,76
10161;49101032;10161 - RECEPCAO CONTAGEM;49101032 - RATEIOS RECEBIDOS PROG JOVEM APRENDIZ;19,51
10163;41101001;10163 - RECURSOS HUMANOS - SP;41101001 - SALARIOS;3742,12
10163;41101008;10163 - RECURSOS HUMANOS - SP;41101008 - ENCARGOS SOCIAIS - INSS;1220,25
10163;41101009;10163 - RECURSOS HUMANOS - SP;41101009 - ENC. SOCIAIS - FGTS;322,41
10163;41101010;10163 - RECURSOS HUMANOS - SP;41101010 - FERIAS;415,79
10163;41101012;10163 - RECURSOS HUMANOS - SP;41101012 - DECIMO TERCEIRO SALARIO;311,85
10163;41101027;10163 - RECURSOS HUMANOS - SP;41101027 - PROVISAO PPR;298,03
10163;41102005;10163 - RECURSOS HUMANOS - SP;41102005 - VALE TRANSPORTE;350,85
10163;41102009;10163 - RECURSOS HUMANOS - SP;41102009 - TICKETS RESTAURANTE;458,17
10163;41102011;10163 - RECURSOS HUMANOS - SP;41102011 - ASSISTENCIA MEDICA;1551,79
10163;41102014;10163 - RECURSOS HUMANOS - SP;41102014 - DESP. ODONTOLOGICAS;-0,4
10163;41102017;10163 - RECURSOS HUMANOS - SP;41102017 - SEGURO DE VIDA;13,17
10163;42101015;10163 - RECURSOS HUMANOS - SP;42101015 - BENS DE PEQUENO VALOR;-25
10163;42105007;10163 - RECURSOS HUMANOS - SP;42105007 - CONSERVACAO E LIMPEZA;120
10163;42108002;10163 - RECURSOS HUMANOS - SP;42108002 - TELEFONIA MOVEL;101,72
10163;42109008;10163 - RECURSOS HUMANOS - SP;42109008 - CONSULTORIA TI;5,36
10163;42111021;10163 - RECURSOS HUMANOS - SP;42111021 - ACOES DE RESPONSABILIDADE SOCIAL;40,15
10163;42115001;10163 - RECURSOS HUMANOS - SP;42115001 - DEPRECIACAO;85,33
10164;41101001;10164 - RECURSOS HUMANOS - RJ;41101001 - SALARIOS;3224
10164;41101008;10164 - RECURSOS HUMANOS - RJ;41101008 - ENCARGOS SOCIAIS - INSS;1109,11
10164;41101009;10164 - RECURSOS HUMANOS - RJ;41101009 - ENC. SOCIAIS - FGTS;308,07
10164;41101010;10164 - RECURSOS HUMANOS - RJ;41101010 - FERIAS;358,22
10164;41101012;10164 - RECURSOS HUMANOS - RJ;41101012 - DECIMO TERCEIRO SALARIO;268,66
10164;41101027;10164 - RECURSOS HUMANOS - RJ;41101027 - PROVISAO PPR;295,53
10164;41102001;10164 - RECURSOS HUMANOS - RJ;41102001 - MEDICAMENTOS;-1,19
10164;41102005;10164 - RECURSOS HUMANOS - RJ;41102005 - VALE TRANSPORTE;1345,46
10164;41102009;10164 - RECURSOS HUMANOS - RJ;41102009 - TICKETS RESTAURANTE;491,11
10164;41102011;10164 - RECURSOS HUMANOS - RJ;41102011 - ASSISTENCIA MEDICA;1992,45
10164;41102014;10164 - RECURSOS HUMANOS - RJ;41102014 - DESP. ODONTOLOGICAS;1,09
10164;41102017;10164 - RECURSOS HUMANOS - RJ;41102017 - SEGURO DE VIDA;10,98
10164;42108002;10164 - RECURSOS HUMANOS - RJ;42108002 - TELEFONIA MOVEL;66,38
